glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,n_points,n_strokes,stroke
53,莫,83AB,in_simplified_set,unicode_encoded,mo,98,15,"98,-64,0,-10,-15,-6,-11,-64,0,-1,-16,-6,-11,-64,0,3,-13,3,-4,-64,0,0,-10,3,-7,-64,0,7,-10,3,-7,-64,0,-6,-16,-6,-6,-64,0,-5,1,6,1,6,5,-64,0,-5,1,-5,6,6,5,-64,0,-4,3,1,3,-64,0,-7,8,-7,16,-64,0,-10,9,-7,12,-7,12,-64,0,-3,9,-7,12,-64,0,3,8,4,16,-64,0,-1,10,3,12,-64,0,8,7,3,12,-64,-64,,,,,,"
54,葬,846C,in_simplified_set,unicode_encoded,zang,64,10,"64,-64,0,-3,-12,-3,16,-64,0,-9,-6,-9,2,-64,0,-9,-2,-3,-2,-64,0,-9,7,-9,15,-64,0,-9,8,-3,8,-64,0,3,-15,3,-4,-64,0,3,-11,8,-8,-64,0,1,-1,1,9,-64,0,1,-1,7,-3,7,11,-64,0,1,5,6,1,-64,-64,,,,,,"
55,小,5C0F,in_simplified_set,unicode_encoded,xiao,20,3,"20,-64,0,-1,-12,-1,14,-64,0,-7,-2,-9,12,-64,0,5,-4,6,12,-64,-64,,,,,,"
56,少,5C11,in_simplified_set,unicode_encoded,shao,26,4,"26,-64,0,-1,-14,-1,1,-64,0,-1,4,-1,15,-64,0,-9,-3,-9,8,-64,0,5,-4,5,9,-64,-64,,,,,,"
57,八,516B,in_simplified_set,unicode_encoded,ba,22,2,"22,-64,0,-9,-6,-6,0,-7,4,-12,8,-64,0,3,-11,1,-1,2,5,9,10,-64,-64,,,,,,"
58,分,5206,in_simplified_set,unicode_encoded,fen,34,4,"34,-64,0,0,-13,-5,-4,0,8,-4,15,-64,0,-3,2,-7,12,-64,0,-9,-13,-7,1,-12,13,-64,0,5,-14,2,-1,8,11,-64,-64,,,,,,"
59,曾,66FE,in_simplified_set,unicode_encoded,ceng,44,6,"44,-64,0,-10,1,8,1,-64,0,-10,1,-8,9,4,10,8,1,-64,0,-9,5,6,5,-64,0,-2,1,-2,9,-64,0,-8,-15,-4,-9,-2,1,-64,0,3,-14,3,1,-64,-64,,,,,,"
60,遂,9042,traditional_or_variant,unicode_encoded,sui,46,7,"46,-64,0,-3,-15,-6,-6,-64,0,0,-15,5,-4,-64,0,-5,-6,6,0,-64,0,-1,-7,1,9,-5,15,-64,0,-1,-2,-7,6,-64,0,-4,2,-2,12,-64,0,-1,11,2,16,-64,-64,,,,,,"
61,介,4ECB,in_simplified_set,unicode_encoded,jie,46,6,"46,-64,0,0,-16,0,-10,-4,-5,-1,2,-1,15,-64,0,0,-10,5,-5,-64,0,-7,-4,-7,6,-64,0,3,-2,3,5,-64,0,-6,8,-6,18,-64,0,3,9,3,16,3,16,-64,-64,,,,,,"
62,兆,5146,in_simplified_set,unicode_encoded,zhao,26,4,"26,-64,0,-4,-12,-9,-2,-64,0,2,-11,9,-1,-64,0,-4,2,-11,13,-64,0,1,0,10,14,-64,-64,,,,,,"
63,公,516C,in_simplified_set,unicode_encoded,gong,34,5,"34,-64,0,-4,-13,-8,5,-64,0,2,-13,9,5,-64,0,-5,4,-5,12,-64,0,-5,4,4,4,4,12,-64,0,-5,12,4,12,-64,-64,,,,,,"
64,必,5FC5,in_simplified_set,unicode_encoded,bi,44,6,"44,-64,0,-4,-14,4,-11,3,-5,-8,0,-64,0,-5,5,7,4,-64,0,-1,-1,0,9,6,15,-64,0,-4,-10,-4,-5,-64,0,-10,4,-9,9,-64,0,2,-2,4,1,-64,-64,,,,,,"
65,余,4F59,in_simplified_set,unicode_encoded,yu,38,6,"38,-64,0,-1,-16,-10,-2,-64,0,-1,-16,8,-1,-64,0,-6,-8,4,-8,-64,0,-1,-8,-1,17,-64,0,-7,-1,-1,6,-64,0,6,-3,-1,6,-64,-64,,,,,,"
66,番,756A,in_simplified_set,unicode_encoded,fan,38,6,"38,-64,0,-2,-14,-2,13,-64,0,-10,0,6,0,-64,0,-8,-14,-8,-8,-64,0,4,-16,4,-9,-64,0,-9,6,-9,13,-64,0,4,6,4,14,-64,-64,,,,,,"
67,牛,725B,in_simplified_set,unicode_encoded,niu,36,5,"36,-64,0,-2,-8,-2,16,-64,0,-9,-15,-9,-2,-2,1,-64,0,4,-15,4,-2,-2,2,-64,0,-9,5,-2,10,-64,0,6,4,-2,10,-64,-64,,,,,,"
