jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
186,妃,5983,U+E36A,0.63,0.52,0.08333720581878251,OK
187,分,5206,U+E03B,0.75,0.5,0.17609125905568124,OK_LOOSE
188,焚,711A,U+E2E5,0.71,0.58,0.08783035515613805,OK
189,丰,4E30,U+E1D9,0.42,0.69,0.21559980033935483,OK_LOOSE
190,封,5C01,U+E3CE,0.61,0.7,0.05976820500348979,OK
191,風,98A8,U+E3C1,0.53,0.42,0.10102657920288864,OK
192,豐,8C50,U+E16E,0.44,0.32,0.13830269816628146,OK
193,夆,5906,U+E451,0.45,0.56,0.09497551323085678,OK
194,逢feng,,,,,,SEVERE
195,鳯,,,,,,SEVERE
196,缶,7F36,U+E192,0.6,0.45,0.12493873660829993,OK
197,夫,592B,U+E2FE,0.57,0.56,0.007686828666290861,OK
198,尃,5C03,U+E0E6,0.71,0.54,0.11886458889610672,OK
199,弗,5F17,U+E38A,0.68,0.61,0.047179077695469335,OK
200,伏,4F0F,U+E473,0.48,0.57,0.07463361829690415,OK
201,甶,7536,U+E2A5,0.71,0.31,0.35989665488480255,WARN
202,刜,521C,U+E149,0.71,0.65,0.03834499207621967,OK
203,孚,5B5A,U+E0BD,0.62,0.65,0.020521667144601727,OK
204,扶,6276,U+E35B,0.73,0.39,0.2722582530939566,OK_LOOSE
205,服,670D,U+E281,0.67,0.69,0.01277428803642884,OK
206,茀,8300,U+E02C,0.63,0.68,0.033168363252654647,OK
207,俘,4FD8,U+E262,0.76,0.59,0.10996158063864721,OK
208,畐,7550,U+E19E,0.43,0.75,0.2415928078121135,OK_LOOSE
209,祓,7953,U+E019,0.43,0.62,0.1589232339186674,OK_LOOSE
210,福,798F,U+E010,0.73,0.66,0.04377892457858719,OK
211,箙,7B99,U+E152,0.61,0.83,0.13374825736530685,OK
212,甫,752B,U+E0FF,0.51,0.38,0.1277865794811262,OK
213,斧,65A7,U+E3E4,0.67,0.75,0.04898646069087357,OK
214,父,7236,U+E0C7,0.47,0.56,0.07609016907048301,OK
215,妇zou,,,,,,SEVERE
216,阜fu,,,,,,SEVERE
217,复,590D,U+E1A6,0.25,0.38,0.1818435879447725,OK_LOOSE
218,副,526F,U+E145,0.48,0.24,0.3010299956639812,WARN
219,婦,5A66,U+E369,0.67,0.45,0.17286228892548278,OK_LOOSE
220,復,5FA9,U+E07E,0.36,0.33,0.037788560889399754,OK
221,腹,8179,U+E13F,0.38,0.67,0.2462912060840163,OK_LOOSE
222,改gai,,,,,,SEVERE
223,干,5E72,U+E094,0.61,0.71,0.06592851370830821,OK
224,甘,7518,U+E158,0.96,0.59,0.21141922139742425,OK_LOOSE
225,纲gang,,,,,,SEVERE
226,剛,525B,U+E144,0.58,0.93,0.2050549549909979,OK_LOOSE
227,犅,7285,U+E046,0.52,0.34,0.184524426592544,OK_LOOSE
228,羔,7F94,U+E122,0.62,0.58,0.028963695935316648,OK
229,高,9AD8,U+E196,0.48,0.45,0.028028723600243534,OK
230,膏,818F,U+E13E,0.63,0.59,0.028488537811437533,OK
231,杲,6772,U+E1B9,0.47,0.46,0.009340026254143336,OK
232,槀,69C0,U+E1B8,0.49,0.61,0.09513375498225338,OK
233,告,544A,U+E04B,0.56,0.45,0.09497551323085675,OK
234,戈,6208,U+E38D,0.62,0.48,0.11115045212266668,OK
235,敋e,,,,,,SEVERE
236,格,683C,U+E1B7,0.45,0.56,0.09497551323085678,OK
237,鬲,9B32,U+E0B9,0.52,0.45,0.06279082985945553,OK
238,各,5404,U+E05D,0.44,0.7,0.20164536352806933,OK_LOOSE
239,亘,4E98,U+E3C9,0.87,0.47,0.2674213946829011,OK_LOOSE
240,更,66F4,U+E0EE,0.51,0.46,0.04481234441636231,OK
241,庚,5E9A,U+E409,0.58,0.5,0.06445798922691845,OK
242,工,5DE5,U+E156,0.81,0.35,0.3644169745283741,WARN
243,弓,5F13,U+E3A7,0.32,0.88,0.43933269383026263,WARN
244,公,516C,U+E040,0.73,0.48,0.18208162274486867,OK_LOOSE
245,攻,653B,U+E0F3,0.64,0.55,0.0658172844896433,OK
246,宫,5BAB,U+E239,0.79,0.68,0.06511817858420506,OK
247,龏,9F8F,U+E0B2,0.56,0.27,0.3168242628472131,WARN
248,共,5171,U+E0AB,0.82,0.68,0.08130493967748034,OK
249,袧gou,,,,,,SEVERE
250,苟,82DF,U+E2A2,0.34,0.89,0.4179110896026576,WARN
251,冓,5193,U+E12E,0.63,0.53,0.07506467985279265,OK
252,遘,9058,U+E071,0.56,0.81,0.16029699187244928,OK_LOOSE
253,古,53E4,U+E09B,0.66,0.69,0.01930515519538658,OK
254,谷,8C37,U+E33B,0.56,0.3,0.271066772286538,OK_LOOSE
255,骨,9AA8,U+E13C,0.48,0.59,0.08961077426655695,OK
256,鼓,.9F1,,,,,SEVERE
257,蠱,8831,U+E3C0,0.72,0.59,0.0864804847891243,OK
258,雇,96C7,U+E11A,0.43,0.58,0.12995953798335072,OK
259,冎,518E,U+E13A,0.46,0.41,0.04997397496183862,OK
260,剐gua,,,,,,SEVERE
261,卦sui,,,,,,SEVERE
262,官,5B98,U+E3EC,0.54,0.38,0.15261016320615833,OK_LOOSE
263,觀,89C0,U+E28C,0.6,0.36,0.2218487496163564,OK_LOOSE
264,毌,6BCC,U+E20E,0.71,0.46,0.18850051703750115,OK_LOOSE
265,盥,.76E,,,,,SEVERE
266,雚,96DA,U+E11D,0.51,0.55,0.03279251339630749,OK
267,鹳（萑）huan,,,,,,SEVERE
268,光,5149,U+E2E7,0.36,0.52,0.1597008428675119,OK_LOOSE
269,廣,5EE3,U+E2AA,0.71,0.48,0.1700171113434881,OK_LOOSE
270,嶲,,,,,,SEVERE
271,歸,6B78,U+E065,0.54,0.69,0.10645533091428673,OK
272,癸,7678,U+E40D,0.67,0.62,0.03368311320257262,OK
273,鬼,9B3C,U+E2A3,0.44,0.55,0.09691001300805645,OK
274,湀,6E40,U+E31E,0.68,0.65,0.01959555606338077,OK
275,簋gui,,,,,,SEVERE
276,郭guo,,,,,,SEVERE
277,囻guo,,,,,,SEVERE
278,馘,9998,U+E496,0.74,0.71,0.01797337101190088,OK
279,亥,4EA5,U+E421,0.55,0.54,0.007968929671275373,OK
280,害hai,,,,,,SEVERE
281,函,51FD,U+E20F,0.58,0.44,0.11997531707674983,OK
282,涵,6DB5,U+E329,0.79,0.83,0.021451001085632446,OK
283,鶾,9DBE,U+E12B,0.56,0.54,0.015794267183231885,OK
284,蒿,84BF,U+E033,0.69,0.68,0.006340178031018975,OK
