glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,svg
785,浿,6D7F,in_simplified_set,unicode_encoded,pei,0785.svg
786,洚,6D1A,in_simplified_set,unicode_encoded,jiang,0786.svg
787,衍,884D,in_simplified_set,unicode_encoded,yan,0787.svg
788,演,6F14,in_simplified_set,unicode_encoded,yan,0788.svg
789,況,6CC1,in_simplified_set,unicode_encoded,kuang,0789.svg
790,沖,6C96,in_simplified_set,unicode_encoded,chong,0790.svg
791,灂,7042,in_simplified_set,unicode_encoded,zhuo,0791.svg
792,淵,6DF5,in_simplified_set,unicode_encoded,yuan,0792.svg
793,滋,6ECB,in_simplified_set,unicode_encoded,zi,0793.svg
794,沚,6C9A,in_simplified_set,unicode_encoded,zhi,0794.svg
795,派,6D3E,in_simplified_set,unicode_encoded,pai,0795.svg
796,汜,6C5C,in_simplified_set,unicode_encoded,si,0796.svg
797,湀,6E40,in_simplified_set,unicode_encoded,gui,0797.svg
798,濘,6FD8,in_simplified_set,unicode_encoded,ning,0798.svg
799,潢,6F62,in_simplified_set,unicode_encoded,huang,0799.svg
800,湄,6E44,in_simplified_set,unicode_encoded,mei,0800.svg
801,汓,6C53,in_simplified_set,unicode_encoded,qiu,0801.svg
802,砅,7805,in_simplified_set,unicode_encoded,li,0802.svg
803,溺,6EBA,traditional_or_variant,unicode_encoded,ni,0803.svg
804,潦,6F66,in_simplified_set,unicode_encoded,lao,0804.svg
805,濩,6FE9,in_simplified_set,unicode_encoded,huo,0805.svg
806,涿,6DBF,in_simplified_set,unicode_encoded,zhuo,0806.svg
807,沈,6C88,in_simplified_set,unicode_encoded,shen,0807.svg
808,涵,6DB5,in_simplified_set,unicode_encoded,han,0808.svg
809,溼,6EBC,in_simplified_set,unicode_encoded,shi,0809.svg
810,洎,6D0E,in_simplified_set,unicode_encoded,ji,0810.svg
811,汰,6C70,in_simplified_set,unicode_encoded,tai,0811.svg
812,淡,6DE1,in_simplified_set,unicode_encoded,dan,0812.svg
813,洒,6D12,in_simplified_set,unicode_encoded,sa,0813.svg
814,沐,6C90,in_simplified_set,unicode_encoded,mu,0814.svg
815,沫,6CAB,in_simplified_set,unicode_encoded,mo,0815.svg
816,濤,6FE4,in_simplified_set,unicode_encoded,tao,0816.svg
817,沝,6C9D,in_simplified_set,unicode_encoded,zhui,0817.svg
818,涉,6D89,in_simplified_set,unicode_encoded,she,0818.svg
819,川,5DDD,in_simplified_set,unicode_encoded,chuan,0819.svg
820,列,5217,traditional_or_variant,unicode_encoded,lie,0820.svg
821,邕,9095,in_simplified_set,unicode_encoded,yong,0821.svg
822,灾,707E,traditional_or_variant,unicode_encoded,zai,0822.svg
823,州,5DDE,in_simplified_set,unicode_encoded,zhou,0823.svg
824,泉,6CC9,in_simplified_set,unicode_encoded,quan,0824.svg
825,永,6C38,in_simplified_set,unicode_encoded,yong,0825.svg
826,谷,8C37,in_simplified_set,unicode_encoded,gu,0826.svg
827,冰,51B0,in_simplified_set,unicode_encoded,bing,0827.svg
828,冬,51AC,in_simplified_set,unicode_encoded,dong,0828.svg
829,雨,96E8,in_simplified_set,unicode_encoded,yu,0829.svg
830,雷,96F7,in_simplified_set,unicode_encoded,lei,0830.svg
831,霝,971D,in_simplified_set,unicode_encoded,ling,0831.svg
832,落,843D,traditional_or_variant,unicode_encoded,luo,0832.svg
833,霖,9716,in_simplified_set,unicode_encoded,lin,0833.svg
834,霽,973D,in_simplified_set,unicode_encoded,ji,0834.svg
835,霋,970B,traditional_or_variant,unicode_encoded,qi,0835.svg
836,霾,973E,in_simplified_set,unicode_encoded,mai,0836.svg
837,雩,96E9,in_simplified_set,unicode_encoded,yu,0837.svg
838,雩,96E9,in_simplified_set,unicode_encoded,yu,0838.svg
839,雲,96F2,in_simplified_set,unicode_encoded,yun,0839.svg
840,魚,9B5A,in_simplified_set,unicode_encoded,yu,0840.svg
841,漁,6F01,in_simplified_set,unicode_encoded,yu,0841.svg
842,燕,71D5,in_simplified_set,unicode_encoded,yan,0842.svg
843,龍,9F8D,in_simplified_set,unicode_encoded,long,0843.svg
844,麉,9E89,traditional_or_variant,unicode_encoded,jian,0844.svg
845,不,4E0D,in_simplified_set,unicode_encoded,bu,0845.svg
846,至,81F3,in_simplified_set,unicode_encoded,zhi,0846.svg
847,西,897F,in_simplified_set,unicode_encoded,xi,0847.svg
848,户,6237,in_simplified_set,unicode_encoded,hu,0848.svg
849,門,9580,in_simplified_set,unicode_encoded,men,0849.svg
850,耳,8033,in_simplified_set,unicode_encoded,er,0850.svg
851,聖,8056,in_simplified_set,unicode_encoded,sheng,0851.svg
852,聽,807D,in_simplified_set,unicode_encoded,ting,0852.svg
853,聲,8072,in_simplified_set,unicode_encoded,sheng,0853.svg
854,聞,805E,in_simplified_set,unicode_encoded,wen,0854.svg
855,聾,807E,in_simplified_set,unicode_encoded,long,0855.svg
856,聑,8051,in_simplified_set,unicode_encoded,tie,0856.svg
857,排,6392,in_simplified_set,unicode_encoded,pai,0857.svg
858,扶,6276,in_simplified_set,unicode_encoded,fu,0858.svg
859,摯,646F,in_simplified_set,unicode_encoded,zhi,0859.svg
860,搏,640F,in_simplified_set,unicode_encoded,bo,0860.svg
861,撣,64A3,in_simplified_set,unicode_encoded,dan,0861.svg
862,掔,6394,in_simplified_set,unicode_encoded,qian,0862.svg
863,扔,6254,in_simplified_set,unicode_encoded,reng,0863.svg
864,拕,62D5,in_simplified_set,unicode_encoded,tuo,0864.svg
865,掤,63A4,in_simplified_set,unicode_encoded,bing,0865.svg
866,扜,625C,in_simplified_set,unicode_encoded,yu,0866.svg
867,女,5973,in_simplified_set,unicode_encoded,nv,0867.svg
868,姓,59D3,in_simplified_set,unicode_encoded,xing,0868.svg
869,姜,59DC,in_simplified_set,unicode_encoded,jiang,0869.svg
870,姬,59EC,in_simplified_set,unicode_encoded,ji,0870.svg
871,娶,5A36,in_simplified_set,unicode_encoded,qu,0871.svg
